task,feature_set,model,n_train,n_val,n_test,validation_threshold,validation_net_bps,validation_n_trades,validation_objective,auroc,auprc,f1,balanced_accuracy,brier_score,net_bps_captured,hit_rate_above_cost,false_positive_cost,n_trades,final_pnl_usd,max_drawdown_usd,sharpe_ratio
basis_1m_gt10bps,price_only,no_trade,19735,11222,15387,0.5,,0,total_pnl_min25trades,0.5,0.36121401182816665,0.0,0.5,0.36121401182816665,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_only,last_value,19735,11222,15387,0.95,-120.46,7458,total_pnl_min25trades,0.6517293780501561,0.4688604905327636,0.5265773990667478,0.5108343589376174,0.6085883807833352,-225.9761678653044,0.024791637236897868,-235.4514502151853,14158,-15996852.923184875,15996852.923184875,-452.647144177906
basis_1m_gt10bps,price_only,rolling_mean,19735,11222,15387,0.5,,0,total_pnl_min25trades,0.5,0.36121401182816665,0.0,0.5,0.36121401182816665,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_only,ar1,19735,11222,15387,0.5,,0,total_pnl_min25trades,0.5106542458992273,0.36647875827447945,0.5262252794496991,0.5095856490353523,0.6038674021391643,-225.87334488563837,0.024695701118694152,-235.30842875080526,14213,-16051689.25429787,16051689.25429787,-454.0474767088739
basis_1m_gt10bps,price_only,logistic,19735,11222,15387,0.5,-90.9,2,total_pnl_min25trades,0.3057275726546837,0.2899009446151686,0.009632536567962896,0.5013606638981788,0.35567885101326135,-96.14175070075264,0.0,-96.14175070075264,48,-23074.02016818063,23074.02016818063,-39.308898276704916
basis_1m_gt10bps,price_only,ridge,19735,11222,15387,0.5,,0,total_pnl_min25trades,0.49013569241661054,0.36493277020778053,0.0,0.5,0.3564161647468051,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_only,lasso,19735,11222,15387,0.5,,0,total_pnl_min25trades,0.5318376497920119,0.4611088450472536,0.0,0.5,0.33522419848270296,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_only,lgbm,19735,11222,15387,0.95,-130.86,80,total_pnl_min25trades,0.5762833404070344,0.4508980972479629,0.19206680584551147,0.5322960918866265,0.3076746813586563,-198.76447240022878,0.009581881533101045,-201.21097809329453,1148,-1140908.071577312,1140908.071577312,-110.2604314756315
basis_1m_gt10bps,price_only,xgb,19735,11222,15387,0.1625,-53.05,38,total_pnl_min25trades,0.6213425630823974,0.44252108486997754,0.03339711254131153,0.5038035619602581,0.32902963841245103,-165.32304307416243,0.0,-165.32304307416243,191,-157883.50613582507,157883.50613582507,-49.17846308821063
basis_1m_gt10bps,price_only,rf,19735,11222,15387,0.2188,1.46,72,total_pnl_min25trades,0.6798579934219522,0.5215004511081649,0.0,0.5,0.30628031558460056,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_only,oracle,19735,11222,15387,0.5,,0,total_pnl_min25trades,0.5127048473480906,0.3712487823553316,0.07344728380436621,0.5127048473480906,0.35581984792357185,146.745266336421,1.0,nan,351,257537.9424204187,0.0,80.00948413938262
basis_1m_gt10bps,price_plus_book,no_trade,19735,11222,15387,0.5,,0,total_pnl_min25trades,0.5,0.36121401182816665,0.0,0.5,0.36121401182816665,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_plus_book,last_value,19735,11222,15387,0.05,-138.16,11222,total_pnl_min25trades,0.5,0.36121401182816665,0.5307233229887801,0.5,0.6387859881718334,-224.31256513812957,0.02281146422304543,-232.97452967973416,15387,-17257487.198902015,17252492.198902015,-484.66379458374035
