task,feature_set,model,n_train,n_val,n_test,validation_threshold,validation_net_bps,validation_n_trades,validation_objective,auroc,auprc,f1,balanced_accuracy,brier_score,net_bps_captured,hit_rate_above_cost,false_positive_cost,n_trades,final_pnl_usd,max_drawdown_usd,sharpe_ratio
executable_arb_q10000_1m,price_only,no_trade,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.034444589139210835,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q10000_1m,price_only,last_value,18895,11281,15358,0.95,-76.1,7525,total_pnl_min25trades,0.7314721154494571,0.062286588955610504,0.07217409100211475,0.5414053543731877,0.9157943862762031,-73.93520993877586,0.037438075017692855,-85.54526013321606,14130,-1044704.516434903,1049633.1651931386,-710.9646298958736
executable_arb_q10000_1m,price_only,rolling_mean,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.034444589139210835,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q10000_1m,price_only,ar1,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5373255108233865,0.03712020209108133,0.07017311136167673,0.5273113493829658,0.9070569085590866,-75.37755336531322,0.03636238658234809,-86.69585655150478,14548,-1096592.6463585778,1096467.8890519575,-750.2210808453023
executable_arb_q10000_1m,price_only,ridge,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.034444589139210835,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q10000_1m,price_only,lasso,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.034444589139210835,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q10000_1m,price_only,lgbm,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.034444589139210766,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q10000_1m,price_only,xgb,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.03444452025104839,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q10000_1m,price_only,oracle,18895,11281,15358,0.5,,0,total_pnl_min25trades,1.0,1.0,1.0,1.0,0.0,224.56817889786163,1.0,nan,529,118796.56663696877,0.0,117.16847012696104
executable_arb_q10000_1m,price_plus_book,no_trade,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.034444589139210835,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q10000_1m,price_plus_book,last_value,18895,11281,15358,0.05,-81.57,11281,total_pnl_min25trades,0.5,0.034444589139210835,0.06659532951469756,0.5,0.9655554108607892,-77.94606911533441,0.034444589139210835,-88.73776357881681,15358,-1197095.7294733082,1196970.972166688,-833.362377448734
executable_arb_q10000_1m,price_plus_book,rolling_mean,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.034444589139210835,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q10000_1m,price_plus_book,ar1,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.06659532951469756,0.5,0.9655554108607892,-77.94606911533441,0.034444589139210835,-88.73776357881681,15358,-1197095.7294733082,1196970.972166688,-833.362377448734
executable_arb_q10000_1m,price_plus_book,ridge,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.034444589139210835,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q10000_1m,price_plus_book,lasso,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.034444589139210835,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q10000_1m,price_plus_book,lgbm,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.034444589139210766,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q10000_1m,price_plus_book,xgb,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.03444452025104839,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q10000_1m,price_plus_book,oracle,18895,11281,15358,0.5,,0,total_pnl_min25trades,1.0,1.0,1.0,1.0,0.0,224.56817889786163,1.0,nan,529,118796.56663696877,0.0,117.16847012696104
executable_arb_q10000_1m,all,no_trade,18895,11281,15358,0.5,,0,total_pnl_min25trades,0.5,0.034444589139210835,0.0,0.5,0.034444589139210835,nan,nan,nan,0,0.0,0.0,nan
