task,feature_set,model,n_train,n_val,n_test,validation_threshold,validation_net_bps,validation_n_trades,validation_objective,auroc,auprc,f1,balanced_accuracy,brier_score,net_bps_captured,hit_rate_above_cost,false_positive_cost,n_trades,final_pnl_usd,max_drawdown_usd,sharpe_ratio
basis_1m_gt10bps,price_only,no_trade,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.5,0.17897560018316216,0.0,0.5,0.17897560018316216,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_only,price_threshold_10bps,27657,11041,15287,0.05,-88.91,1241,total_pnl_min25trades,0.7968586558653558,0.5040059646064607,0.66654478976234,0.7968586558653559,0.11931706678877478,-259.6790622557398,0.050109729334308704,-279.0885477999392,2734,-3549812.7810359583,3549812.7810359583,-174.7215806868407
basis_1m_gt10bps,price_only,price_threshold_25bps,27657,11041,15287,0.05,60.31,107,total_pnl_min25trades,0.6854588105092625,0.465414226578402,0.5373368146214099,0.6854588105092625,0.11591548374435795,-329.4050177498712,0.05393053016453382,-352.55666608764636,1094,-1801845.447091796,1801845.447091796,-115.87484900648846
basis_1m_gt10bps,price_only,gross_arb_threshold,27657,11041,15287,0.05,37.86,118,total_pnl_min25trades,0.5244265239926365,0.19298902796313053,0.13313609467455623,0.5244265239926363,0.1916661215411788,-130.86246245465483,0.040372670807453416,-144.84123862521477,644,-421377.12910398864,421377.12910398864,-86.36047246297501
basis_1m_gt10bps,price_only,last_value,27657,11041,15287,0.95,-137.97,4390,total_pnl_min25trades,0.26205349717014226,0.1951348905028189,0.19225037257824143,0.5100021735879017,0.40119441070601813,-168.27914336097203,0.04559270516717325,-185.92267719381869,2632,-2214553.526630393,2214553.526630393,-157.96923931422248
basis_1m_gt10bps,price_only,rolling_mean,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.5,0.17897560018316216,0.0,0.5,0.17897560018316216,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_only,ar1,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.4315859276607582,0.1830820274976431,0.17518703241895262,0.4784914682597925,0.31672011267309697,-176.84975056244178,0.035054347826086955,-190.5983923676261,3680,-3254035.410348943,3254035.410348943,-193.70749169336491
basis_1m_gt10bps,price_only,logistic,27657,11041,15287,0.5,-31.13,1,total_pnl_min25trades,0.23304787810761335,0.14953709527029926,0.015069967707212056,0.5026425954037352,0.17518292654434633,-109.77094504667535,0.0,-109.77094504667535,51,-27991.590986902225,27991.590986902225,-41.87409367519658
basis_1m_gt10bps,price_only,ridge,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.5266351298398441,0.20075181056646166,0.0,0.5,0.17575930612879534,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_only,lasso,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.6646094897729544,0.5818574076845096,0.5043715846994535,0.668637063121645,0.11644235615385169,-370.78487309168025,0.02922077922077922,-382.0208990122506,924,-1713026.113683563,1713026.113683563,-112.58952339252923
basis_1m_gt10bps,price_only,lgbm,27657,11041,15287,0.6125,-118.6,26,total_pnl_min25trades,0.7808504605303926,0.37312159895751373,0.005807622504537205,0.5010237762094397,0.17692070384884984,-112.89662728371034,0.0,-112.89662728371034,19,-10725.179591952481,10725.179591952481,-25.53141117311954
basis_1m_gt10bps,price_only,xgb,27657,11041,15287,0.6125,-36.49,164,total_pnl_min25trades,0.7818593704935326,0.36986677497695025,0.13337527524378737,0.5295402360707495,0.16704361599833623,-118.74347333636527,0.01580135440180587,-123.6186270690662,443,-263016.793440049,263016.793440049,-84.81757652418771
basis_1m_gt10bps,price_only,rf,27657,11041,15287,0.275,23.95,156,total_pnl_min25trades,0.8583379955978439,0.5306926539976199,0.0,0.4999203250736993,0.13530793030819985,-106.23171025806298,0.0,-106.23171025806298,2,-1062.3171025806298,1062.3171025806298,-8.292897156415773
basis_1m_gt10bps,price_only,oracle,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.5163285840554166,0.1893941062726374,0.0881399870382372,0.5163285840554165,0.1840779747497874,147.12326402009427,1.0,nan,350,257465.71203516482,0.0,80.25174829390217
basis_1m_gt10bps,price_plus_book,no_trade,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.5,0.17897560018316216,0.0,0.5,0.17897560018316216,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_plus_book,price_threshold_10bps,27657,11041,15287,0.05,-88.91,1241,total_pnl_min25trades,0.7968586558653558,0.5040059646064607,0.66654478976234,0.7968586558653559,0.11931706678877478,-259.6790622557398,0.050109729334308704,-279.0885477999392,2734,-3549812.7810359583,3549812.7810359583,-174.7215806868407
basis_1m_gt10bps,price_plus_book,price_threshold_25bps,27657,11041,15287,0.05,60.31,107,total_pnl_min25trades,0.6854588105092625,0.465414226578402,0.5373368146214099,0.6854588105092625,0.11591548374435795,-329.4050177498712,0.05393053016453382,-352.55666608764636,1094,-1801845.447091796,1801845.447091796,-115.87484900648846
basis_1m_gt10bps,price_plus_book,gross_arb_threshold,27657,11041,15287,0.05,37.86,118,total_pnl_min25trades,0.5244265239926365,0.19298902796313053,0.13313609467455623,0.5244265239926363,0.1916661215411788,-130.86246245465483,0.040372670807453416,-144.84123862521477,644,-421377.12910398864,421377.12910398864,-86.36047246297501
basis_1m_gt10bps,price_plus_book,last_value,27657,11041,15287,0.05,-138.56,11041,total_pnl_min25trades,0.5,0.17897560018316216,0.3036120512678244,0.5,0.4517389707200192,-230.66184316196083,0.02289527049126709,-239.514008088902,15287,-17630637.982084505,17625642.982084505,-489.5066580950022
basis_1m_gt10bps,price_plus_book,rolling_mean,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.5,0.17897560018316216,0.0,0.5,0.17897560018316216,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_plus_book,ar1,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.5,0.17897560018316216,0.0,0.5,0.16351397545019977,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_plus_book,logistic,27657,11041,15287,0.3312,-165.38,27,total_pnl_min25trades,0.3887485258973796,0.17656375202413307,0.02676056338028169,0.5043151718765215,0.1740431024380118,-122.20896370038669,0.0,-122.20896370038669,104,-63548.66112420107,63548.66112420107,-58.911413460917174
basis_1m_gt10bps,price_plus_book,ridge,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.7974603966693085,0.6268225771760771,0.5149674620390455,0.6895541774355949,0.10615776802521883,-370.69958860602947,0.16915688367129136,-478.6169796490029,1874,-3473455.145238492,3532846.5584282973,-153.9710777766291
basis_1m_gt10bps,price_plus_book,lasso,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.7429649457115552,0.5919019394949305,0.5051658510059815,0.669255504791911,0.1044146215159055,-365.55746243344504,0.028662420382165606,-376.4182003164824,942,-1721775.6480615258,1721775.6480615258,-113.13687511842086
basis_1m_gt10bps,price_plus_book,lgbm,27657,11041,15287,0.3875,-48.62,32,total_pnl_min25trades,0.7587453715157945,0.3562852717330979,0.05422100205902539,0.5104932256510396,0.17153703388584712,-97.38424730031578,0.0449438202247191,-103.91467039098067,178,-86671.98009728114,86671.98009728114,-59.24083474488858
basis_1m_gt10bps,price_plus_book,xgb,27657,11041,15287,0.3312,8.89,58,total_pnl_min25trades,0.7715742286092625,0.35413399716344524,0.03706293706293706,0.5068572126309453,0.16681986700586088,-117.86857926086923,0.06451612903225806,-131.078817803895,124,-73078.51914173896,73078.51914173896,-40.297304040959226
basis_1m_gt10bps,price_plus_book,rf,27657,11041,15287,0.2188,2.36,170,total_pnl_min25trades,0.8628999821080867,0.5386312873536941,0.007982583454281567,0.5016516967497755,0.1309020781023885,-146.19329905614367,0.0,-146.19329905614367,20,-14619.329905614366,14619.329905614366,-15.61698751995027
basis_1m_gt10bps,price_plus_book,oracle,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.5163285840554166,0.1893941062726374,0.0881399870382372,0.5163285840554165,0.1840779747497874,147.12326402009427,1.0,nan,350,257465.71203516482,0.0,80.25174829390217
basis_1m_gt10bps,price_book_frag,no_trade,27657,11041,15287,0.5,,0,total_pnl_min25trades,0.5,0.17897560018316216,0.0,0.5,0.17897560018316216,nan,nan,nan,0,0.0,0.0,nan
basis_1m_gt10bps,price_book_frag,price_threshold_10bps,27657,11041,15287,0.05,-88.91,1241,total_pnl_min25trades,0.7968586558653558,0.5040059646064607,0.66654478976234,0.7968586558653559,0.11931706678877478,-259.6790622557398,0.050109729334308704,-279.0885477999392,2734,-3549812.7810359583,3549812.7810359583,-174.7215806868407
basis_1m_gt10bps,price_book_frag,price_threshold_25bps,27657,11041,15287,0.05,60.31,107,total_pnl_min25trades,0.6854588105092625,0.465414226578402,0.5373368146214099,0.6854588105092625,0.11591548374435795,-329.4050177498712,0.05393053016453382,-352.55666608764636,1094,-1801845.447091796,1801845.447091796,-115.87484900648846
