task,feature_set,model,n_train,n_val,n_test,validation_threshold,validation_net_bps,validation_n_trades,validation_objective,auroc,auprc,f1,balanced_accuracy,brier_score,net_bps_captured,hit_rate_above_cost,false_positive_cost,n_trades,final_pnl_usd,max_drawdown_usd,sharpe_ratio
basis_maxabs_1m_gt10bps,price_only,no_trade,27657,11041,15176,0.5,,0,total_pnl_min25trades,0.5,0.3581312598840274,0.0,0.5,0.3581312598840274,nan,nan,nan,0,0.0,0.0,nan
basis_maxabs_1m_gt10bps,price_only,price_threshold_10bps,27657,11041,15176,0.05,-88.91,1241,total_pnl_min25trades,0.6530038012112612,0.5055340274193041,0.5007356547327121,0.6530038012112612,0.268318397469689,-256.4772377596414,0.05034913634693128,-275.8146154695178,2721,-3489372.8197199176,3489372.8197199176,-174.08491494167362
basis_maxabs_1m_gt10bps,price_only,price_threshold_25bps,27657,11041,15176,0.05,60.31,107,total_pnl_min25trades,0.5942969742456581,0.47441709830626816,0.32143404320514785,0.5942969742456581,0.2918423827095414,-328.17865331351567,0.05402930402930403,-351.30508170446655,1092,-1791855.447091796,1791855.447091796,-115.99600637820757
basis_maxabs_1m_gt10bps,price_only,gross_arb_threshold,27657,11041,15176,0.05,37.86,118,total_pnl_min25trades,0.5327303659727136,0.3880782997462389,0.15101167955255798,0.5327303659727135,0.3400764364786505,-130.86246245465483,0.040372670807453416,-144.84123862521477,644,-421377.12910398864,421377.12910398864,-86.68022332169237
basis_maxabs_1m_gt10bps,price_only,last_value,27657,11041,15176,0.95,-144.06,4037,total_pnl_min25trades,0.47319257830241146,0.42412775740189057,0.37729478792994303,0.5487415505946234,0.41655378451061476,-169.65423780749904,0.008904279000742024,-171.9396603766094,4043,-3429560.417278588,3429560.417278588,-221.55820337419078
basis_maxabs_1m_gt10bps,price_only,rolling_mean,27657,11041,15176,0.5,,0,total_pnl_min25trades,0.5,0.3581312598840274,0.0,0.5,0.3581312598840274,nan,nan,nan,0,0.0,0.0,nan
basis_maxabs_1m_gt10bps,price_only,ar1,27657,11041,15176,0.5,,0,total_pnl_min25trades,0.5269470264203496,0.3964994161260874,0.38121047877145436,0.5397559344520788,0.38479146845768725,-177.20721026056592,0.008392226148409895,-179.442693038249,4528,-4011971.24029921,4011971.24029921,-234.70281768271118
basis_maxabs_1m_gt10bps,price_only,logistic,27657,11041,15176,0.95,15.2,593,total_pnl_min25trades,0.7017769050042844,0.5402405706860054,0.5981189223656942,0.6727546301084,0.26539550563137676,-239.0065352098357,0.049219519054985235,-258.99550573645536,7111,-8497877.359385727,8497877.359385727,-288.46255920488994
basis_maxabs_1m_gt10bps,price_only,ridge,27657,11041,15176,0.5,,0,total_pnl_min25trades,0.6970954718940899,0.5503556348565635,0.4435779274488952,0.6135969163430363,0.22524469288423016,-321.4671303878311,0.11525759577278732,-382.5617784635774,3028,-4867012.354071749,4867012.354071749,-191.3868693059775
basis_maxabs_1m_gt10bps,price_only,lasso,27657,11041,15176,0.5,,0,total_pnl_min25trades,0.6528823672019755,0.5811429706702211,0.37923437069677773,0.6035806883092708,0.24015618546147532,-376.66884667030394,0.17350848385331144,-489.64272123952907,1827,-3440869.9143332248,3512002.680398201,-153.00764290820976
basis_maxabs_1m_gt10bps,price_only,lgbm,27657,11041,15176,0.95,-51.41,897,total_pnl_min25trades,0.4918441640324326,0.3914979303493835,0.4057305793170596,0.4589907774184875,0.38915676324722476,-226.60356603375726,0.02616279069767442,-237.4416876535197,8944,-10133711.4730296,10128716.4730296,-341.5061273841184
basis_maxabs_1m_gt10bps,price_only,xgb,27657,11041,15176,0.7812,-90.21,109,total_pnl_min25trades,0.5298906725591155,0.4036795645396041,0.24613731022437188,0.5282168891870749,0.26837609066018214,-176.8491294068396,0.027888446215139442,-186.60063939376806,2008,-1775565.25924467,1775565.25924467,-144.13978356030623
basis_maxabs_1m_gt10bps,price_only,rf,27657,11041,15176,0.3875,28.89,155,total_pnl_min25trades,0.6454755348437125,0.5131843723952535,0.03335724533715925,0.506091845023458,0.2249532848994711,-142.7493632793221,0.014184397163120567,-145.13902491708978,141,-100638.30111192205,100638.30111192205,-43.16467742981568
basis_maxabs_1m_gt10bps,price_only,oracle,27657,11041,15176,0.5,,0,total_pnl_min25trades,0.5129930612240658,0.3684250050556755,0.07467588591184096,0.5129930612240657,0.35272799156562995,147.12326402009427,1.0,nan,350,257465.71203516482,0.0,80.54831103947251
