task,feature_set,model,n_train,n_val,n_test,validation_threshold,validation_net_bps,validation_n_trades,validation_objective,auroc,auprc,f1,balanced_accuracy,brier_score,net_bps_captured,hit_rate_above_cost,false_positive_cost,n_trades,final_pnl_usd,max_drawdown_usd,sharpe_ratio
executable_arb_q50000_5m,price_only,no_trade,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_only,price_threshold_10bps,25033,11115,14956,0.05,-88.93,1254,total_pnl_min25trades,0.61976110490863,0.06836479403976689,0.16448370392933293,0.61976110490863,0.18340465365070874,-225.38093171569886,0.05241009946442234,-243.8337335220373,2614,-2945728.777524179,2945728.777524179,-163.42828705645235
executable_arb_q50000_5m,price_only,price_threshold_25bps,25033,11115,14956,0.05,48.53,116,total_pnl_min25trades,0.5725642166046611,0.06336805497359374,0.1632413388138579,0.5725642166046611,0.0952794864937149,-289.6443798027111,0.05705996131528046,-311.8147166137007,1034,-1497461.4435800174,1497461.4435800174,-107.22524491658594
executable_arb_q50000_5m,price_only,gross_arb_threshold,25033,11115,14956,0.05,31.5,125,total_pnl_min25trades,0.5178184187638359,0.0474826864969415,0.07846153846153846,0.5178184187638359,0.08010163145225996,-112.97690304405344,0.04120443740095087,-126.4874140006326,631,-356442.1291039889,356442.1291039889,-94.75264212836716
executable_arb_q50000_5m,price_only,last_value,25033,11115,14956,0.95,-137.73,4409,total_pnl_min25trades,0.4968576071800773,0.08284427900195263,0.1373013189042949,0.5787505507165043,0.2999128279715739,-158.5800405512663,0.04807692307692308,-177.62758580898816,2288,-1814155.66390649,1814155.66390649,-146.11092695667455
executable_arb_q50000_5m,price_only,rolling_mean,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_only,ar1,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.536676280599619,0.051197249764732805,0.09727851766068327,0.5392542249672866,0.2994573302082335,-177.39713205391752,0.02903368794326241,-189.26469433453076,4512,-4002079.299136391,4002079.299136391,-220.1406422151289
executable_arb_q50000_5m,price_only,ridge,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_only,lasso,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_only,lgbm,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389133,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_only,xgb,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473112209248887,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_only,oracle,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.7615844544095665,0.5444981412342172,0.6869479882237488,0.7615844544095665,0.02132923241508425,147.12326402009427,1.0,nan,350,257465.71203516482,0.0,81.14594121461747
executable_arb_q50000_5m,price_plus_book,no_trade,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_plus_book,price_threshold_10bps,25033,11115,14956,0.05,-88.93,1254,total_pnl_min25trades,0.61976110490863,0.06836479403976689,0.16448370392933293,0.61976110490863,0.18340465365070874,-225.38093171569886,0.05241009946442234,-243.8337335220373,2614,-2945728.777524179,2945728.777524179,-163.42828705645235
executable_arb_q50000_5m,price_plus_book,price_threshold_25bps,25033,11115,14956,0.05,48.53,116,total_pnl_min25trades,0.5725642166046611,0.06336805497359374,0.1632413388138579,0.5725642166046611,0.0952794864937149,-289.6443798027111,0.05705996131528046,-311.8147166137007,1034,-1497461.4435800174,1497461.4435800174,-107.22524491658594
executable_arb_q50000_5m,price_plus_book,gross_arb_threshold,25033,11115,14956,0.05,31.5,125,total_pnl_min25trades,0.5178184187638359,0.0474826864969415,0.07846153846153846,0.5178184187638359,0.08010163145225996,-112.97690304405344,0.04120443740095087,-126.4874140006326,631,-356442.1291039889,356442.1291039889,-94.75264212836716
executable_arb_q50000_5m,price_plus_book,last_value,25033,11115,14956,0.95,-137.73,4409,total_pnl_min25trades,0.4968576071800773,0.08284427900195263,0.1373013189042949,0.5787505507165043,0.2999128279715739,-158.5800405512663,0.04807692307692308,-177.62758580898816,2288,-1814155.66390649,1814155.66390649,-146.11092695667455
executable_arb_q50000_5m,price_plus_book,rolling_mean,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_plus_book,ar1,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.536676280599619,0.051197249764732805,0.09727851766068327,0.5392542249672866,0.2994573302082335,-177.39713205391752,0.02903368794326241,-189.26469433453076,4512,-4002079.299136391,4002079.299136391,-220.1406422151289
executable_arb_q50000_5m,price_plus_book,ridge,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_plus_book,lasso,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_plus_book,lgbm,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389133,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_plus_book,xgb,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473112209248887,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_plus_book,oracle,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.7615844544095665,0.5444981412342172,0.6869479882237488,0.7615844544095665,0.02132923241508425,147.12326402009427,1.0,nan,350,257465.71203516482,0.0,81.14594121461747
executable_arb_q50000_5m,price_book_frag,no_trade,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_book_frag,price_threshold_10bps,25033,11115,14956,0.05,-88.93,1254,total_pnl_min25trades,0.61976110490863,0.06836479403976689,0.16448370392933293,0.61976110490863,0.18340465365070874,-225.38093171569886,0.05241009946442234,-243.8337335220373,2614,-2945728.777524179,2945728.777524179,-163.42828705645235
executable_arb_q50000_5m,price_book_frag,price_threshold_25bps,25033,11115,14956,0.05,48.53,116,total_pnl_min25trades,0.5725642166046611,0.06336805497359374,0.1632413388138579,0.5725642166046611,0.0952794864937149,-289.6443798027111,0.05705996131528046,-311.8147166137007,1034,-1497461.4435800174,1497461.4435800174,-107.22524491658594
executable_arb_q50000_5m,price_book_frag,gross_arb_threshold,25033,11115,14956,0.05,31.5,125,total_pnl_min25trades,0.5178184187638359,0.0474826864969415,0.07846153846153846,0.5178184187638359,0.08010163145225996,-112.97690304405344,0.04120443740095087,-126.4874140006326,631,-356442.1291039889,356442.1291039889,-94.75264212836716
executable_arb_q50000_5m,price_book_frag,last_value,25033,11115,14956,0.95,-137.73,4409,total_pnl_min25trades,0.4968576071800773,0.08284427900195263,0.1373013189042949,0.5787505507165043,0.2999128279715739,-158.5800405512663,0.04807692307692308,-177.62758580898816,2288,-1814155.66390649,1814155.66390649,-146.11092695667455
executable_arb_q50000_5m,price_book_frag,rolling_mean,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_book_frag,ar1,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.536676280599619,0.051197249764732805,0.09727851766068327,0.5392542249672866,0.2994573302082335,-177.39713205391752,0.02903368794326241,-189.26469433453076,4512,-4002079.299136391,4002079.299136391,-220.1406422151289
executable_arb_q50000_5m,price_book_frag,ridge,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_book_frag,lasso,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_book_frag,lgbm,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389133,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_book_frag,xgb,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473112209248887,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_book_frag,oracle,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.7615844544095665,0.5444981412342172,0.6869479882237488,0.7615844544095665,0.02132923241508425,147.12326402009427,1.0,nan,350,257465.71203516482,0.0,81.14594121461747
executable_arb_q50000_5m,price_book_settle,no_trade,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_book_settle,price_threshold_10bps,25033,11115,14956,0.05,-88.93,1254,total_pnl_min25trades,0.61976110490863,0.06836479403976689,0.16448370392933293,0.61976110490863,0.18340465365070874,-225.38093171569886,0.05241009946442234,-243.8337335220373,2614,-2945728.777524179,2945728.777524179,-163.42828705645235
executable_arb_q50000_5m,price_book_settle,price_threshold_25bps,25033,11115,14956,0.05,48.53,116,total_pnl_min25trades,0.5725642166046611,0.06336805497359374,0.1632413388138579,0.5725642166046611,0.0952794864937149,-289.6443798027111,0.05705996131528046,-311.8147166137007,1034,-1497461.4435800174,1497461.4435800174,-107.22524491658594
executable_arb_q50000_5m,price_book_settle,gross_arb_threshold,25033,11115,14956,0.05,31.5,125,total_pnl_min25trades,0.5178184187638359,0.0474826864969415,0.07846153846153846,0.5178184187638359,0.08010163145225996,-112.97690304405344,0.04120443740095087,-126.4874140006326,631,-356442.1291039889,356442.1291039889,-94.75264212836716
executable_arb_q50000_5m,price_book_settle,last_value,25033,11115,14956,0.95,-137.73,4409,total_pnl_min25trades,0.4968576071800773,0.08284427900195263,0.1373013189042949,0.5787505507165043,0.2999128279715739,-158.5800405512663,0.04807692307692308,-177.62758580898816,2288,-1814155.66390649,1814155.66390649,-146.11092695667455
executable_arb_q50000_5m,price_book_settle,rolling_mean,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_book_settle,ar1,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.536676280599619,0.051197249764732805,0.09727851766068327,0.5392542249672866,0.2994573302082335,-177.39713205391752,0.02903368794326241,-189.26469433453076,4512,-4002079.299136391,4002079.299136391,-220.1406422151289
executable_arb_q50000_5m,price_book_settle,ridge,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_book_settle,lasso,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_book_settle,lgbm,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389133,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_book_settle,xgb,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473112209248887,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,price_book_settle,oracle,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.7615844544095665,0.5444981412342172,0.6869479882237488,0.7615844544095665,0.02132923241508425,147.12326402009427,1.0,nan,350,257465.71203516482,0.0,81.14594121461747
executable_arb_q50000_5m,all,no_trade,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,all,price_threshold_10bps,25033,11115,14956,0.05,-88.93,1254,total_pnl_min25trades,0.61976110490863,0.06836479403976689,0.16448370392933293,0.61976110490863,0.18340465365070874,-225.38093171569886,0.05241009946442234,-243.8337335220373,2614,-2945728.777524179,2945728.777524179,-163.42828705645235
executable_arb_q50000_5m,all,price_threshold_25bps,25033,11115,14956,0.05,48.53,116,total_pnl_min25trades,0.5725642166046611,0.06336805497359374,0.1632413388138579,0.5725642166046611,0.0952794864937149,-289.6443798027111,0.05705996131528046,-311.8147166137007,1034,-1497461.4435800174,1497461.4435800174,-107.22524491658594
executable_arb_q50000_5m,all,gross_arb_threshold,25033,11115,14956,0.05,31.5,125,total_pnl_min25trades,0.5178184187638359,0.0474826864969415,0.07846153846153846,0.5178184187638359,0.08010163145225996,-112.97690304405344,0.04120443740095087,-126.4874140006326,631,-356442.1291039889,356442.1291039889,-94.75264212836716
executable_arb_q50000_5m,all,last_value,25033,11115,14956,0.05,-141.06,11115,total_pnl_min25trades,0.5,0.04473121155389141,0.085632,0.5,0.9552687884461086,-207.98326221455784,0.023401979138807167,-216.49259291304674,14956,-15552988.348404618,15547993.348404618,-471.5977207755243
executable_arb_q50000_5m,all,rolling_mean,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,all,ar1,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.085632,0.5,0.9552687884461086,-207.98326221455784,0.023401979138807167,-216.49259291304674,14956,-15552988.348404618,15547993.348404618,-471.5977207755243
executable_arb_q50000_5m,all,ridge,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,all,lasso,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389141,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,all,lgbm,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473121155389133,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,all,xgb,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.5,0.04473121155389141,0.0,0.5,0.04473112209248887,nan,nan,nan,0,0.0,0.0,nan
executable_arb_q50000_5m,all,oracle,25033,11115,14956,0.5,,0,total_pnl_min25trades,0.7615844544095665,0.5444981412342172,0.6869479882237488,0.7615844544095665,0.02132923241508425,147.12326402009427,1.0,nan,350,257465.71203516482,0.0,81.14594121461747
