task,feature_set,n_estimators,learning_rate,num_leaves,min_child_samples,val_total_pnl_bps,val_n_trades,val_auprc,test_net_bps_captured,test_n_trades,test_auroc,test_auprc,test_final_pnl_usd,oracle_capture_pct,selected_best
basis_usdc_1m_gt10bps,price_only,100,0.01,15,20,nan,0,0.1126,nan,0,0.6825,0.3642,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,100,0.01,15,50,nan,0,0.1098,nan,0,0.687,0.3804,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,100,0.01,31,20,-2170.9259,26,0.1102,-83.2437,70,0.6702,0.3374,-5827.06,-0.4625,True
basis_usdc_1m_gt10bps,price_only,100,0.01,31,50,nan,0,0.1144,nan,0,0.6774,0.375,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,100,0.01,63,20,-4284.2082,53,0.1232,-80.1126,69,0.674,0.3218,-5527.77,-0.4451,False
basis_usdc_1m_gt10bps,price_only,100,0.01,63,50,-2685.6148,31,0.1254,-67.365,36,0.6746,0.3809,-2425.14,-0.3742,False
basis_usdc_1m_gt10bps,price_only,100,0.05,15,20,nan,0,0.1105,nan,0,0.6212,0.2432,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,100,0.05,15,50,nan,0,0.1055,nan,0,0.589,0.2251,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,100,0.05,31,20,nan,0,0.1084,nan,0,0.6245,0.2953,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,100,0.05,31,50,nan,0,0.1114,nan,0,0.6297,0.2893,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,100,0.05,63,20,nan,0,0.1122,nan,0,0.6684,0.3398,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,100,0.05,63,50,nan,0,0.1157,nan,0,0.6304,0.2843,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,100,0.1,15,20,nan,0,0.1049,nan,0,0.5597,0.1969,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,100,0.1,15,50,nan,0,0.1133,nan,0,0.6081,0.2597,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,100,0.1,31,20,nan,0,0.1117,nan,0,0.6475,0.2733,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,100,0.1,31,50,nan,0,0.1193,-105.0858,1,0.6385,0.2549,-105.09,-0.5838,False
basis_usdc_1m_gt10bps,price_only,100,0.1,63,20,nan,0,0.1328,-105.0858,1,0.7132,0.3219,-105.09,-0.5838,False
basis_usdc_1m_gt10bps,price_only,100,0.1,63,50,-8181.0868,94,0.1189,-85.7154,20,0.6219,0.2193,-1714.31,-0.4762,False
basis_usdc_1m_gt10bps,price_only,200,0.01,15,20,-4868.1736,51,0.1164,-58.6841,86,0.664,0.3145,-5046.83,-0.326,False
basis_usdc_1m_gt10bps,price_only,200,0.01,15,50,-2573.8247,27,0.1084,-73.3175,20,0.6812,0.3742,-1466.35,-0.4073,False
basis_usdc_1m_gt10bps,price_only,200,0.01,31,20,-4970.5869,55,0.1131,-88.3653,54,0.6548,0.3034,-4771.72,-0.4909,False
basis_usdc_1m_gt10bps,price_only,200,0.01,31,50,-23730.4654,255,0.1221,-88.5725,53,0.6709,0.3319,-4694.34,-0.4921,False
basis_usdc_1m_gt10bps,price_only,200,0.01,63,20,-3678.1828,42,0.1184,-77.1872,54,0.6877,0.3675,-4168.11,-0.4288,False
basis_usdc_1m_gt10bps,price_only,200,0.01,63,50,-32052.2722,336,0.1153,-84.6603,81,0.6754,0.3468,-6857.48,-0.4703,False
basis_usdc_1m_gt10bps,price_only,200,0.05,15,20,nan,0,0.1082,nan,0,0.5693,0.2097,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,200,0.05,15,50,nan,0,0.1102,nan,0,0.6215,0.2409,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,200,0.05,31,20,nan,0,0.1126,nan,0,0.5926,0.2111,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,200,0.05,31,50,nan,0,0.1266,-105.0858,1,0.6526,0.251,-105.09,-0.5838,False
basis_usdc_1m_gt10bps,price_only,200,0.05,63,20,nan,0,0.1123,-105.0858,1,0.6461,0.2465,-105.09,-0.5838,False
basis_usdc_1m_gt10bps,price_only,200,0.05,63,50,nan,0,0.1255,-107.5102,4,0.6639,0.2528,-430.04,-0.5973,False
basis_usdc_1m_gt10bps,price_only,200,0.1,15,20,nan,0,0.1113,-105.0858,1,0.5325,0.1722,-105.09,-0.5838,False
basis_usdc_1m_gt10bps,price_only,200,0.1,15,50,nan,0,0.1216,-105.0858,1,0.6399,0.2366,-105.09,-0.5838,False
basis_usdc_1m_gt10bps,price_only,200,0.1,31,20,nan,0,0.1204,-105.0858,1,0.6357,0.2289,-105.09,-0.5838,False
basis_usdc_1m_gt10bps,price_only,200,0.1,31,50,nan,0,0.1264,-107.5102,4,0.6463,0.2244,-430.04,-0.5973,False
basis_usdc_1m_gt10bps,price_only,200,0.1,63,20,nan,0,0.1405,-105.0858,1,0.6302,0.2122,-105.09,-0.5838,False
basis_usdc_1m_gt10bps,price_only,200,0.1,63,50,-8505.5354,98,0.1263,-83.4698,23,0.6994,0.2626,-1919.81,-0.4637,False
basis_usdc_1m_gt10bps,price_only,500,0.01,15,20,nan,0,0.1084,nan,0,0.5844,0.2211,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,500,0.01,15,50,nan,0,0.1069,nan,0,0.5939,0.2215,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,500,0.01,31,20,nan,0,0.1106,nan,0,0.6284,0.28,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,500,0.01,31,50,nan,0,0.115,nan,0,0.6587,0.3086,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,500,0.01,63,20,nan,0,0.1127,nan,0,0.6739,0.3498,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,500,0.01,63,50,nan,0,0.1105,nan,0,0.6474,0.2867,0.0,nan,False
basis_usdc_1m_gt10bps,price_only,500,0.05,15,20,nan,0,0.1184,-105.0858,1,0.6309,0.2216,-105.09,-0.5838,False
