split,notional,basis_threshold_bps,settlement_penalty_bps,fee_regime,horizon,n_minutes,price_signal_pct,executable_signal_pct,price_to_execution_ratio,oracle_net_bps,oracle_n_trades
test,10000,0,0,base_fee,1m,15839,83.686,3.34,25.06,224.57,529
test,10000,0,0,base_fee,5m,15839,83.686,5.644,14.83,224.57,529
test,10000,0,0,base_fee,15m,15839,83.686,7.74,10.81,224.57,529
test,10000,0,0,low_fee,1m,15839,83.686,3.504,23.88,224.57,529
test,10000,0,0,low_fee,5m,15839,83.686,5.834,14.35,224.57,529
test,10000,0,0,low_fee,15m,15839,83.686,8.1,10.33,224.57,529
test,10000,0,0,high_fee,1m,15839,83.686,3.195,26.2,224.57,529
test,10000,0,0,high_fee,5m,15839,83.686,5.455,15.34,224.57,529
test,10000,0,0,high_fee,15m,15839,83.686,7.456,11.22,224.57,529
test,10000,0,0,institutional_fee,1m,15839,83.686,3.656,22.89,224.57,529
test,10000,0,0,institutional_fee,5m,15839,83.686,6.105,13.71,224.57,529
test,10000,0,0,institutional_fee,15m,15839,83.686,8.466,9.88,224.57,529
test,10000,0,2,base_fee,1m,15839,83.686,3.195,26.2,224.57,529
test,10000,0,2,base_fee,5m,15839,83.686,5.455,15.34,224.57,529
test,10000,0,2,base_fee,15m,15839,83.686,7.456,11.22,224.57,529
test,10000,0,2,low_fee,1m,15839,83.686,3.34,25.06,224.57,529
test,10000,0,2,low_fee,5m,15839,83.686,5.644,14.83,224.57,529
test,10000,0,2,low_fee,15m,15839,83.686,7.74,10.81,224.57,529
test,10000,0,2,high_fee,1m,15839,83.686,3.081,27.16,224.57,529
test,10000,0,2,high_fee,5m,15839,83.686,5.303,15.78,224.57,529
test,10000,0,2,high_fee,15m,15839,83.686,7.122,11.75,224.57,529
test,10000,0,2,institutional_fee,1m,15839,83.686,3.422,24.46,224.57,529
test,10000,0,2,institutional_fee,5m,15839,83.686,5.764,14.52,224.57,529
test,10000,0,2,institutional_fee,15m,15839,83.686,8.043,10.4,224.57,529
