batch,boot_p,ci_hi,ci_lo,fs,model,n,net_bps,net_key,oracle_cap,protocol
20260617T075241,1.0,-26.75,-32.58,price_only,lgbm,1083,-29.76,q10000,-0.1835,crossmech
20260617T075241,0.354,41.2,-23.4,price_only,logistic,95,7.71,q10000,0.0475,crossmech
20260617T075241,1.0,-27.45,-33.72,price_only,random_forest,1112,-30.75,q10000,-0.1896,crossmech
20260617T075241,1.0,-30.46,-36.48,price_plus_book,lgbm,422,-33.55,q10000,-0.2069,crossmech
20260617T075241,1.0,-88.82,-110.64,price_plus_book,logistic,7,-99.14,q10000,-0.6112,crossmech
20260617T075241,1.0,-36.38,-60.6,price_plus_book,random_forest,75,-48.88,q10000,-0.3013,crossmech
20260617T075241,1.0,-94.44,-121.46,price_only,lgbm,8,-108.62,q10000,-0.6697,inevent_wf
20260617T075241,nan,nan,nan,price_only,logistic,0,nan,q10000,,inevent_wf
20260617T075241,1.0,-89.9,-113.56,price_only,random_forest,16,-101.08,q10000,-0.6232,inevent_wf
20260617T075241,1.0,-90.65,-109.36,price_plus_book,lgbm,10,-99.57,q10000,-0.6138,inevent_wf
20260617T075241,1.0,-15.0,-69.97,price_plus_book,logistic,5,-33.32,q10000,-0.2055,inevent_wf
20260617T075241,1.0,-105.3,-116.48,price_plus_book,random_forest,3,-111.1,q10000,-0.685,inevent_wf
20260617T082918,0.0,nan,nan,price_only,lgbm,1067,nan,q50000,nan,crossmech
20260617T082918,0.0,nan,nan,price_only,lgbm,113,nan,q100000,nan,crossmech
20260617T082918,nan,nan,nan,price_only,logistic,0,nan,q50000,,crossmech
20260617T082918,0.0045,nan,nan,price_only,logistic,17,nan,q100000,nan,crossmech
20260617T082918,0.0,nan,nan,price_only,random_forest,1117,nan,q50000,nan,crossmech
20260617T082918,0.0,nan,nan,price_only,random_forest,192,nan,q100000,nan,crossmech
20260617T082918,0.0,nan,nan,price_plus_book,lgbm,371,nan,q50000,nan,crossmech
20260617T082918,0.0,nan,nan,price_plus_book,lgbm,40,nan,q100000,nan,crossmech
20260617T082918,1.0,-86.63,-109.96,price_plus_book,logistic,7,-98.39,q50000,-0.6066,crossmech
20260617T082918,0.0,nan,nan,price_plus_book,logistic,92,nan,q100000,nan,crossmech
20260617T082918,0.1235,nan,nan,price_plus_book,random_forest,36,nan,q50000,nan,crossmech
20260617T082918,0.0395,nan,nan,price_plus_book,random_forest,42,nan,q100000,nan,crossmech
20260617T082918,1.0,-21.93,-31.01,book_dynamics,lgbm,586,-26.57,q10000,-0.1638,crossmech
20260617T082918,0.0,nan,nan,book_dynamics,lgbm,587,nan,q50000,nan,crossmech
20260617T082918,0.0,nan,nan,book_dynamics,lgbm,733,nan,q100000,nan,crossmech
20260617T082918,1.0,-30.34,-33.25,book_dynamics,logistic,987,-31.8,q10000,-0.196,crossmech
20260617T082918,0.0,nan,nan,book_dynamics,logistic,428,nan,q50000,nan,crossmech
20260617T082918,0.0,nan,nan,book_dynamics,logistic,926,nan,q100000,nan,crossmech
20260617T082918,1.0,-22.6,-40.22,book_dynamics,random_forest,45,-31.14,q10000,-0.192,crossmech
20260617T082918,0.0395,nan,nan,book_dynamics,random_forest,33,nan,q50000,nan,crossmech
20260617T082918,0.0,nan,nan,book_dynamics,random_forest,33,nan,q100000,nan,crossmech
20260617T082918,1.0,-131.32,-131.32,price_only,lgbm,1,-131.32,q50000,-0.8096,inevent_wf
20260617T082918,0.2345,nan,nan,price_only,lgbm,2,nan,q100000,nan,inevent_wf
20260617T082918,nan,nan,nan,price_only,logistic,0,nan,q50000,,inevent_wf
20260617T082918,nan,nan,nan,price_only,logistic,0,nan,q100000,,inevent_wf
20260617T082918,0.341,nan,nan,price_only,random_forest,9,nan,q50000,nan,inevent_wf
20260617T082918,0.3105,nan,nan,price_only,random_forest,4,nan,q100000,nan,inevent_wf
20260617T082918,nan,nan,nan,price_plus_book,lgbm,0,nan,q50000,,inevent_wf
20260617T082918,1.0,-104.8,-104.8,price_plus_book,lgbm,1,-104.8,q100000,-0.6461,inevent_wf
20260617T082918,nan,nan,nan,price_plus_book,logistic,0,nan,q50000,,inevent_wf
20260617T082918,nan,nan,nan,price_plus_book,logistic,0,nan,q100000,,inevent_wf
20260617T082918,1.0,-15.0,-95.08,price_plus_book,random_forest,3,-41.69,q50000,-0.2571,inevent_wf
20260617T082918,nan,nan,nan,price_plus_book,random_forest,0,nan,q100000,,inevent_wf
20260617T082918,1.0,-87.21,-98.97,book_dynamics,lgbm,9,-92.73,q10000,-0.5717,inevent_wf
20260617T082918,nan,nan,nan,book_dynamics,lgbm,0,nan,q50000,,inevent_wf
20260617T082918,0.2995,nan,nan,book_dynamics,lgbm,3,nan,q100000,nan,inevent_wf
20260617T082918,nan,nan,nan,book_dynamics,logistic,0,nan,q10000,,inevent_wf
20260617T082918,nan,nan,nan,book_dynamics,logistic,0,nan,q50000,,inevent_wf
20260617T082918,nan,nan,nan,book_dynamics,logistic,0,nan,q100000,,inevent_wf
20260617T082918,1.0,-87.57,-100.39,book_dynamics,random_forest,63,-94.21,q10000,-0.5808,inevent_wf
20260617T082918,nan,nan,nan,book_dynamics,random_forest,0,nan,q50000,,inevent_wf
20260617T082918,nan,nan,nan,book_dynamics,random_forest,0,nan,q100000,,inevent_wf
20260617T082918,1.0,-107.32,-117.94,price_only,lgbm,35,-112.71,q10000,-0.6949,inevent_purged_cv
20260617T082918,1.0,-91.57,-116.88,price_only,lgbm,8,-104.5,q50000,-0.6442,inevent_purged_cv
20260617T082918,0.343,nan,nan,price_only,lgbm,14,nan,q100000,nan,inevent_purged_cv
20260617T082918,1.0,-112.89,-131.64,price_only,logistic,10,-121.72,q10000,-0.7504,inevent_purged_cv
20260617T082918,nan,nan,nan,price_only,logistic,0,nan,q50000,,inevent_purged_cv
20260617T082918,nan,nan,nan,price_only,logistic,0,nan,q100000,,inevent_purged_cv
20260617T082918,1.0,-100.81,-112.18,price_only,random_forest,46,-106.41,q10000,-0.656,inevent_purged_cv
20260617T082918,0.3755,nan,nan,price_only,random_forest,29,nan,q50000,nan,inevent_purged_cv
20260617T082918,0.367,nan,nan,price_only,random_forest,19,nan,q100000,nan,inevent_purged_cv
20260617T082918,1.0,-65.91,-85.66,price_plus_book,lgbm,48,-75.81,q10000,-0.4674,inevent_purged_cv
20260617T082918,0.0005,nan,nan,price_plus_book,lgbm,43,nan,q50000,nan,inevent_purged_cv
20260617T082918,0.0045,nan,nan,price_plus_book,lgbm,20,nan,q100000,nan,inevent_purged_cv
20260617T082918,1.0,-14.96,-29.21,price_plus_book,logistic,54,-20.89,q10000,-0.1288,inevent_purged_cv
20260617T082918,1.0,-20.96,-95.89,price_plus_book,logistic,7,-52.0,q50000,-0.3206,inevent_purged_cv
20260617T082918,1.0,-15.0,-47.83,price_plus_book,logistic,4,-30.69,q100000,-0.1892,inevent_purged_cv
20260617T082918,1.0,-76.92,-113.37,price_plus_book,random_forest,13,-96.82,q10000,-0.5969,inevent_purged_cv
20260617T082918,0.3375,nan,nan,price_plus_book,random_forest,12,nan,q50000,nan,inevent_purged_cv
20260617T082918,nan,nan,nan,price_plus_book,random_forest,0,nan,q100000,,inevent_purged_cv
20260617T082918,1.0,-58.67,-74.09,book_dynamics,lgbm,93,-66.16,q10000,-0.4079,inevent_purged_cv
20260617T082918,1.0,-57.76,-113.79,book_dynamics,lgbm,7,-83.73,q50000,-0.5162,inevent_purged_cv
20260617T082918,0.114,nan,nan,book_dynamics,lgbm,18,nan,q100000,nan,inevent_purged_cv
20260617T082918,1.0,-66.6,-76.88,book_dynamics,logistic,368,-71.77,q10000,-0.4425,inevent_purged_cv
20260617T082918,1.0,-15.23,-39.99,book_dynamics,logistic,19,-25.96,q50000,-0.16,inevent_purged_cv
20260617T082918,1.0,-28.32,-89.73,book_dynamics,logistic,12,-57.66,q100000,-0.3555,inevent_purged_cv
20260617T082918,1.0,-64.62,-82.34,book_dynamics,random_forest,113,-73.33,q10000,-0.4521,inevent_purged_cv
20260617T082918,1.0,-94.56,-121.34,book_dynamics,random_forest,2,-107.95,q50000,-0.6655,inevent_purged_cv
20260617T082918,1.0,-120.64,-120.64,book_dynamics,random_forest,1,-120.64,q100000,-0.7438,inevent_purged_cv
