split,threshold_bps,n_minutes,price_pct_bps,price_pct_usdc,price_pct_usdt,exec_pct_q10000,exec_pct_q50000,exec_pct_q100000,exec_pct_q500000
train,0,20125,98.06,49.12,98.05,0.0,0.0,0.0,0.0
train,5,20125,19.66,5.3,15.03,0.0,0.0,0.0,0.0
train,10,20125,3.1,0.26,2.84,0.0,0.0,0.0,0.0
train,25,20125,0.13,0.0,0.13,0.0,0.0,0.0,0.0
validation,0,11523,97.37,97.37,97.35,2.58,2.69,2.69,1.42
validation,5,11523,56.37,47.88,44.57,2.45,2.58,2.57,1.28
validation,10,11523,13.76,11.11,7.8,2.3,2.44,2.45,1.22
validation,25,11523,1.08,1.01,0.36,1.99,2.07,2.08,1.02
test,0,15839,97.15,83.69,97.15,3.34,2.22,1.34,0.11
test,5,15839,63.22,25.77,55.17,3.03,1.88,1.14,0.06
test,10,15839,35.09,12.65,28.11,2.88,1.62,1.02,0.03
test,25,15839,9.63,6.53,3.47,2.62,1.33,0.76,0.02
