task,feature_set,model,threshold_rule,threshold_value,val_n_trades,test_n_trades,test_net_bps,test_final_pnl_usd
basis_usdc_1m_gt10bps,price_plus_book,logistic,validation_total_pnl_min25trades,0.5,3,1,-49.087759899391905,-245.43879949695952
basis_usdc_1m_gt10bps,price_book_frag,logistic,validation_total_pnl_min25trades,0.5,3,1,-49.087759899391905,-245.43879949695952
basis_usdc_1m_gt10bps,price_book_settle,logistic,validation_total_pnl_min25trades,0.5,3,1,-49.087759899391905,-245.43879949695952
basis_usdc_1m_gt10bps,price_only,gross_arb_threshold,validation_total_pnl_min25trades,0.05,118,611,-136.04315951678453,-415611.8523237767
basis_usdc_1m_gt10bps,price_plus_book,gross_arb_threshold,validation_total_pnl_min25trades,0.05,118,611,-136.04315951678453,-415611.8523237767
basis_usdc_1m_gt10bps,price_book_frag,gross_arb_threshold,validation_total_pnl_min25trades,0.05,118,611,-136.04315951678453,-415611.8523237767
basis_usdc_1m_gt10bps,price_book_settle,gross_arb_threshold,validation_total_pnl_min25trades,0.05,118,611,-136.04315951678453,-415611.8523237767
basis_usdc_1m_gt10bps,price_only,price_threshold_10bps,validation_total_pnl_min25trades,0.05,1268,2002,-269.46485058951066,-2697343.1544009987
basis_usdc_1m_gt10bps,price_plus_book,price_threshold_10bps,validation_total_pnl_min25trades,0.05,1268,2002,-269.46485058951066,-2697343.1544009987
basis_usdc_1m_gt10bps,price_book_frag,price_threshold_10bps,validation_total_pnl_min25trades,0.05,1268,2002,-269.46485058951066,-2697343.1544009987
basis_usdc_1m_gt10bps,price_book_settle,price_threshold_10bps,validation_total_pnl_min25trades,0.05,1268,2002,-269.46485058951066,-2697343.1544009987
basis_usdc_1m_gt10bps,price_only,lgbm,validation_total_pnl_min25trades,0.5,1,4,-329.0666559417885,-6581.333118835771
basis_usdc_1m_gt10bps,price_only,price_threshold_25bps,validation_total_pnl_min25trades,0.05,107,1033,-346.6231934473439,-1790308.7941555323
basis_usdc_1m_gt10bps,price_plus_book,price_threshold_25bps,validation_total_pnl_min25trades,0.05,107,1033,-346.6231934473439,-1790308.7941555323
basis_usdc_1m_gt10bps,price_book_frag,price_threshold_25bps,validation_total_pnl_min25trades,0.05,107,1033,-346.6231934473439,-1790308.7941555323
basis_usdc_1m_gt10bps,price_book_settle,price_threshold_25bps,validation_total_pnl_min25trades,0.05,107,1033,-346.6231934473439,-1790308.7941555323
basis_usdc_1m_gt10bps,price_only,no_trade,validation_total_pnl_min25trades,0.5,0,0,nan,0.0
basis_usdc_1m_gt10bps,price_only,logistic,validation_total_pnl_min25trades,0.5,1,0,nan,0.0
basis_usdc_1m_gt10bps,price_only,lasso,validation_total_pnl_min25trades,0.5,0,0,nan,0.0
basis_usdc_1m_gt10bps,price_only,rf,validation_total_pnl_min25trades,0.05,862,0,nan,0.0
basis_usdc_1m_gt10bps,price_only,xgb,validation_total_pnl_min25trades,0.05,290,0,nan,0.0
basis_usdc_1m_gt10bps,price_plus_book,no_trade,validation_total_pnl_min25trades,0.5,0,0,nan,0.0
basis_usdc_1m_gt10bps,price_plus_book,lasso,validation_total_pnl_min25trades,0.5,0,0,nan,0.0
basis_usdc_1m_gt10bps,price_plus_book,rf,validation_total_pnl_min25trades,0.05,1278,0,nan,0.0
basis_usdc_1m_gt10bps,price_plus_book,xgb,validation_total_pnl_min25trades,0.1062,27,0,nan,0.0
basis_usdc_1m_gt10bps,price_plus_book,lgbm,validation_total_pnl_min25trades,0.5,0,0,nan,0.0
basis_usdc_1m_gt10bps,price_book_frag,no_trade,validation_total_pnl_min25trades,0.5,0,0,nan,0.0
basis_usdc_1m_gt10bps,price_book_frag,lasso,validation_total_pnl_min25trades,0.5,0,0,nan,0.0
basis_usdc_1m_gt10bps,price_book_frag,rf,validation_total_pnl_min25trades,0.05,1090,0,nan,0.0
basis_usdc_1m_gt10bps,price_book_frag,xgb,validation_total_pnl_min25trades,0.05,56,0,nan,0.0
basis_usdc_1m_gt10bps,price_book_frag,lgbm,validation_total_pnl_min25trades,0.5,0,0,nan,0.0
basis_usdc_1m_gt10bps,price_book_settle,no_trade,validation_total_pnl_min25trades,0.5,0,0,nan,0.0
basis_usdc_1m_gt10bps,price_book_settle,lasso,validation_total_pnl_min25trades,0.5,0,0,nan,0.0
basis_usdc_1m_gt10bps,price_book_settle,rf,validation_total_pnl_min25trades,0.05,1090,0,nan,0.0
basis_usdc_1m_gt10bps,price_book_settle,xgb,validation_total_pnl_min25trades,0.05,56,0,nan,0.0
basis_usdc_1m_gt10bps,price_book_settle,lgbm,validation_total_pnl_min25trades,0.5,0,0,nan,0.0
